,adjmou,adjqty,adjrev,avg3mou,avg3qty,avg6mou,avg6qty,avgmou,avgqty,avgrev,change_mou,change_rev,eqpdays,months,mou_Mean,mou_cvce_Mean,mou_opkv_Mean,rev_Mean,totcalls,totmou,totrev,churn
6306,20345.0,10416,1532.11,659,294,698.0,329.0,924.77,473.45,69.64,-19.5,-2.1475,95.0,23,652.5,149.42,315.52,61.1275,10446,20392.0,1592.41,0
9041,12418.0,3281,1740.47,371,84,403.0,85.0,428.21,113.14,60.02,411.0,19.74,918.0,30,508.0,308.3166667,85.37,66.28,3327,12523.0,1798.98,1
34671,18406.0,8064,2132.19,1299,554,1244.0,548.0,1314.71,576.0,152.3,-742.75,-184.7,451.0,15,1051.75,0.0,0.0,124.32,8068,18411.0,2237.17,1
7800,13837.0,3755,2459.67,1302,341,1263.0,329.0,768.72,208.61,136.65,-227.5,-89.5075,318.0,35,1226.5,759.8066667,23.89,166.0575,3770,13857.0,2514.5,1
34818,46394.0,5778,4502.23,4381,406,3956.0,323.0,1855.76,231.12,180.09,-203.75,38.15,131.0,27,4312.75,2395.4366670000004,2093.193333,246.62,5838,46499.0,4557.05,1
10254,8834.0,5156,671.17,649,385,837.0,530.0,1104.25,644.5,83.9,-23.75,-5.3925,264.0,9,640.75,237.4066667,245.2633333,81.9425,5165,8847.0,778.29,1
26334,10328.0,3214,844.72,1040,306,921.0,283.0,860.67,267.83,70.39,326.5,28.56,371.0,13,1148.5,347.49,310.55,64.91,3219,10352.0,910.33,0
23185,14648.0,5755,2139.03,692,173,605.0,175.0,395.89,155.54,57.81,-144.25,-0.77,239.0,39,644.25,459.31666669999987,273.0466667,51.75,5790,14702.0,2180.32,1
33972,26597.0,2062,2358.91,1340,62,1214.0,63.0,805.97,62.48,71.48,41.5,-1.2225,780.0,35,1353.5,1345.503333,1073.166667,54.7225,2141,27039.0,2453.1,0
38169,8646.0,2548,628.11,1160,289,966.0,274.0,864.6,254.8,62.81,206.25,-11.395,104.0,12,1228.75,775.9733332999998,835.3433332999998,62.375,2690,9136.0,733.44,0
1254,13817.0,7836,1195.94,1129,626,1166.0,652.0,921.13,522.4,79.73,159.25,52.1175,205.0,16,1181.75,390.35,262.5766667,113.1625,7836,13817.0,1255.93,0
28436,12230.0,4452,651.27,1101,371,1134.0,380.0,1019.17,371.0,54.27,18.5,-0.5475,394.0,13,1107.5,439.68666669999993,462.2733333000001,62.5375,4479,12294.0,731.25,1
29105,21654.0,4387,1910.45,716,161,866.0,199.0,1353.38,274.19,119.4,594.0,69.075,215.0,17,914.0,526.9633333,134.46333330000002,98.785,4387,21654.0,1988.7,0
37184,13406.0,3628,1621.37,850,235,1044.0,241.0,582.87,157.74,70.49,902.25,196.9525,190.0,24,1150.75,528.8066666999998,420.0466667,119.1975,3760,13998.0,1724.37,1
18324,13484.0,6535,1777.81,341,152,337.0,144.0,449.47,217.83,59.26,663.0,38.0425,505.0,32,562.0,156.36,97.47,45.9475,6614,13638.0,1853.6,0
19873,13271.0,6988,1134.8,716,387,658.0,371.0,603.23,317.64,51.58,154.25,23.8175,79.0,23,767.75,204.4533333,212.9366667,77.4725,6988,13271.0,1169.15,1
